Member_number,Date,itemDescription,year,month,day,day_of_week
1001,2015-01-01,whole milk,2015,1,1,3
1001,2015-01-01,bread,2015,1,1,3
1001,2015-01-01,butter,2015,1,1,3
1002,2015-01-02,tropical fruit,2015,1,2,4
1002,2015-01-02,whole milk,2015,1,2,4
1003,2015-01-03,yogurt,2015,1,3,5
1003,2015-01-03,rolls/buns,2015,1,3,5
1003,2015-01-03,soda,2015,1,3,5
1004,2015-01-04,other vegetables,2015,1,4,6
1004,2015-01-04,whole milk,2015,1,4,6
1005,2015-01-05,chicken,2015,1,5,0
1005,2015-01-05,domestic eggs,2015,1,5,0
1005,2015-01-05,rolls/buns,2015,1,5,0
1006,2015-01-06,bottled water,2015,1,6,1
1006,2015-01-06,soda,2015,1,6,1
1007,2015-01-07,sausage,2015,1,7,2
1007,2015-01-07,yogurt,2015,1,7,2
1008,2015-01-08,curd,2015,1,8,3
1008,2015-01-08,whole milk,2015,1,8,3
1009,2015-01-09,root vegetables,2015,1,9,4
1009,2015-01-09,other vegetables,2015,1,9,4
1010,2015-01-10,cereals,2015,1,10,5
1010,2015-01-10,whole milk,2015,1,10,5
